user_id,step,timestamp
U088,email_verified,20-07-2026 04:43
U005,signup_started,20-07-2026 04:13
U116,signup_started,20-07-2026 03:58
U070,visited_site,20-07-2026 03:30
U072,signup_started,20-07-2026 04:21
U132,visited_site,20-07-2026 03:43
U020,visited_site,20-07-2026 03:32
U082,visited_site,20-07-2026 03:43
U106,visited_site,20-07-2026 03:30
U035,visited_site,20-07-2026 03:46
U076,signup_started,20-07-2026 04:24
U099,visited_site,20-07-2026 03:51
U030,visited_site,20-07-2026 03:37
U077,visited_site,20-07-2026 03:51
U010,visited_site,20-07-2026 04:02
U050,email_verified,20-07-2026 04:33
U048,visited_site,20-07-2026 03:39
U121,visited_site,20-07-2026 03:35
U111,visited_site,20-07-2026 03:33
U147,signup_started,20-07-2026 04:16
U114,visited_site,20-07-2026 04:01
U174,details_filled,20-07-2026 04:24
U086,visited_site,20-07-2026 04:08
U112,visited_site,20-07-2026 04:08
U182,details_filled,20-07-2026 04:08
U043,visited_site,20-07-2026 03:49
U142,purchase_completed,20-07-2026 04:45
U063,visited_site,20-07-2026 04:08
U046,visited_site,20-07-2026 03:44
U090,signup_started,20-07-2026 04:12
U048,email_verified,20-07-2026 04:18
U083,email_verified,20-07-2026 04:37
U079,visited_site,20-07-2026 04:05
U093,signup_started,20-07-2026 04:06
U199,visited_site,20-07-2026 03:48
U118,purchase_completed,20-07-2026 04:55
U069,email_verified,20-07-2026 04:49
U121,purchase_completed,20-07-2026 04:52
U095,email_verified,20-07-2026 04:48
U024,visited_site,20-07-2026 03:45
U001,details_filled,20-07-2026 04:32
U129,visited_site,20-07-2026 03:40
U014,visited_site,20-07-2026 04:05
U193,details_filled,20-07-2026 04:05
U158,visited_site,20-07-2026 03:34
U186,visited_site,20-07-2026 03:31
U002,details_filled,20-07-2026 04:19
U099,signup_started,20-07-2026 03:48
U053,email_verified,20-07-2026 04:27
U150,visited_site,20-07-2026 04:05
U001,signup_started,20-07-2026 04:04
U043,signup_started,20-07-2026 03:52
U176,visited_site,20-07-2026 03:54
U181,details_filled,20-07-2026 04:05
U019,visited_site,20-07-2026 03:36
U073,email_verified,20-07-2026 04:31
U190,visited_site,20-07-2026 04:00
U045,visited_site,20-07-2026 04:07
U183,visited_site,20-07-2026 03:35
U039,visited_site,20-07-2026 03:52
U165,visited_site,20-07-2026 04:05
U136,purchase_completed,20-07-2026 05:05
U001,visited_site,20-07-2026 03:58
U004,details_filled,20-07-2026 04:13
U042,visited_site,20-07-2026 03:39
U126,signup_started,20-07-2026 04:24
U068,email_verified,20-07-2026 04:54
U105,visited_site,20-07-2026 04:08
U186,details_filled,20-07-2026 04:35
U008,details_filled,20-07-2026 04:36
